,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",8500466,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
2,"MONTERO (Call Me By Your Name)","Lil Nas X",5738238,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Kiss Me More (feat. SZA)","Doja Cat",5470021,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4981314,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Levitating (feat. DaBaby)","Dua Lipa",4374785,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"deja vu","Olivia Rodrigo",3853757,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
7,"Astronaut In The Ocean","Masked Wolf",3541370,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,"Leave The Door Open","Bruno Mars",3388913,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,Fiel,"Los Legendarios",3190593,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,"Pareja Del Año","Sebastian Yatra",3038989,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"drivers license","Olivia Rodrigo",2963359,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,RAPSTAR,"Polo G",2962199,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2812161,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,"m y . l i f e (with 21 Savage & Morray)","J. Cole",2673812,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
15,Am,"Nio Garcia",2657174,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",2585102,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
17,"Blinding Lights","The Weeknd",2452819,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2424926,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",2368089,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
20,"Build a Bitch","Bella Poarch",2362354,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
21,"Your Power","Billie Eilish",2357882,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
22,"Heartbreak Anniversary",Giveon,2315094,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
23,telepatía,"Kali Uchis",2199223,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
24,"a m a r i","J. Cole",2187155,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
25,"The Business",Tiësto,2162104,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
26,DÁKITI,"Bad Bunny",2137915,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
27,"Botella Tras Botella","Gera MX",1965705,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
28,"EL MAKINON","KAROL G",1926416,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
29,Runaway,AURORA,1907036,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
30,"Save Your Tears","The Weeknd",1842016,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
31,"Heat Waves","Glass Animals",1777729,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
32,"Hold On","Justin Bieber",1774002,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
33,Arcade,"Duncan Laurence",1757734,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
34,"Mood (feat. iann dior)",24kGoldn,1749723,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
35,Up,"Cardi B",1741157,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1738932,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
37,"Watermelon Sugar","Harry Styles",1732461,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Your Love (9PM)",ATB,1730553,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
39,"i n t e r l u d e","J. Cole",1728907,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
40,2/Catorce,"Rauw Alejandro",1678563,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
41,Bandido,"Myke Towers",1655874,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
42,Dynamite,BTS,1642919,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
43,"WITHOUT YOU","The Kid LAROI",1609645,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
44,Streets,"Doja Cat",1604610,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
45,"Goosebumps - Remix","Travis Scott",1600049,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
46,"Someone You Loved","Lewis Capaldi",1554479,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
47,BED,"Joel Corry",1544099,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
48,"Don't Start Now","Dua Lipa",1538030,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
49,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1484288,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
50,911,Sech,1483275,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
51,"Talking to the Moon","Bruno Mars",1439732,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
52,Rasputin,Majestic,1426529,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
53,"LA NOCHE DE ANOCHE","Bad Bunny",1407581,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
54,Poblado,Crissin,1388669,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
55,Miénteme,TINI,1368959,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
56,"We're Good","Dua Lipa",1368454,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
57,"9 5 . s o u t h","J. Cole",1363709,https://open.spotify.com/track/5R691ipUYRDYW6ehapjoj6
58,"Head & Heart (feat. MNEK)","Joel Corry",1358455,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
59,"Sweater Weather","The Neighbourhood",1293005,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,positions,"Ariana Grande",1291974,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
61,"Wants and Needs (feat. Lil Baby)",Drake,1251349,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
62,Levitating,"Dua Lipa",1242426,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
63,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1233558,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
64,"Dick (feat. Doja Cat)",StarBoi3,1222582,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
65,"Calling My Phone","Lil Tjay",1204773,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
66,512,Mora,1199227,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
67,"Dance Monkey","Tones And I",1197116,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
68,malibu,sangiovanni,1196123,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
69,"Best Friend (feat. Doja Cat)",Saweetie,1195933,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
70,"l e t . g o . m y . h a n d (with Bas & 6LACK)","J. Cole",1181370,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB
71,"Higher Power",Coldplay,1176006,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
72,"Hecha Pa' Mi",Boza,1171777,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
73,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1157578,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
74,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1148437,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
75,"Sal y Perrea",Sech,1143321,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
76,"Cover Me In Sunshine",P!nk,1137643,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
77,34+35,"Ariana Grande",1131162,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
78,"Another Love","Tom Odell",1127472,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
79,"Roses - Imanbek Remix","SAINt JHN",1116227,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
80,"Paradise (feat. Dermot Kennedy)",MEDUZA,1116049,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
81,"you broke me first","Tate McRae",1113251,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
82,"a p p l y i n g . p r e s s u r e","J. Cole",1109081,https://open.spotify.com/track/1d7q712nXjG98HiwHk7HFS
83,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",1106353,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
84,"Good Days",SZA,1094596,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
85,"Before You Go","Lewis Capaldi",1092009,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
86,"lovely (with Khalid)","Billie Eilish",1090379,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
87,Bipolar,"Mc Davi",1089840,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
88,"1 0 0 . m i l ‘ (with Bas)","J. Cole",1088489,https://open.spotify.com/track/4n6NDfYake476trCjJRNl0
89,Run,OneRepublic,1075901,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
90,Circles,"Post Malone",1035800,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
91,"My Head & My Heart","Ava Max",1023160,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
92,Heather,"Conan Gray",1017793,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
93,Shallow,"Lady Gaga",1017713,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,"Ella No Es Tuya - Remix","Rochy RD",1009092,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
95,"Wasted Love (feat. Lagique)",Ofenbach,1007748,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
96,Reloj,"Rauw Alejandro",998404,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
97,"WAP (feat. Megan Thee Stallion)","Cardi B",998051,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
98,Straightenin,Migos,997237,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
99,Freaks,"Surf Curse",991742,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
100,"t h e . c l i m b . b a c k","J. Cole",987174,https://open.spotify.com/track/5lLNBIyjp72btcnrjBG751
101,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",986703,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
102,Believer,"Imagine Dragons",973409,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
103,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",973310,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
104,goosebumps,"Travis Scott",972713,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
105,Anyone,"Justin Bieber",957388,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
106,Whoopty,CJ,952474,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
107,"bad guy","Billie Eilish",952007,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
108,Memories,"Maroon 5",949642,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
109,"Martin & Gina","Polo G",946504,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
110,"Shape of You","Ed Sheeran",942595,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
111,"Never Left","Lil Tecca",940632,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
112,"p u n c h i n ‘ . t h e . c l o c k","J. Cole",933927,https://open.spotify.com/track/57ZUX6TNyKLBydAdVVd02x
113,"Volta Bebê, Volta Neném","Dj Guuga",925474,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
114,Aloha,Maluma,923189,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
115,"Adore You","Harry Styles",920041,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
116,Señorita,"Shawn Mendes",912763,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
117,"Take Me To Church",Hozier,910351,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
118,Hawái,Maluma,908707,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
119,"What You Know Bout Love","Pop Smoke",908295,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
120,"Tipo Gin - Ao Vivo","MC Kevin o Chris",904118,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
121,"Lucid Dreams","Juice WRLD",903130,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
122,"Follow You","Imagine Dragons",901664,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
123,"Say You Won't Let Go","James Arthur",899809,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
124,"In the morning",ITZY,897378,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
125,"Prisoner (feat. Dua Lipa)","Miley Cyrus",897082,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
126,"h u n g e r . o n . h i l l s i d e (with Bas)","J. Cole",889468,https://open.spotify.com/track/5BwQjRasNcdRPuVWKcHto2
127,"No Role Modelz","J. Cole",888766,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
128,"GIRL LIKE ME","Black Eyed Peas",886819,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
129,"Therefore I Am","Billie Eilish",885964,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
130,Perfect,"Ed Sheeran",880600,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
131,"death bed (coffee for your head)",Powfu,878188,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
132,"Slumber Party (feat. Princess Nokia)",Ashnikko,874802,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
133,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",874126,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
134,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",870270,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
135,"Breaking Me",Topic,867035,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
136,Yellow,Coldplay,856756,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
137,"Solid (feat. Drake)","Young Stoner Life",855283,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
138,"Bohemian Rhapsody - Remastered 2011",Queen,852926,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
139,"Holy (feat. Chance The Rapper)","Justin Bieber",847217,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
140,"Dreams - 2004 Remaster","Fleetwood Mac",846839,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
141,"Just the Way You Are","Bruno Mars",846056,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
142,"The Nights",Avicii,845739,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
143,You,Regard,845715,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
144,"Wake Me Up",Avicii,836626,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
145,"Little Bit of Love","Tom Grennan",831492,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
146,"All of Me","John Legend",827834,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
147,"7 rings","Ariana Grande",827626,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
148,"Cloud 9","Beach Bunny",823865,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
149,"Break My Heart","Dua Lipa",821612,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
150,"Daddy Issues","The Neighbourhood",818647,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
151,BICHOTA,"KAROL G",807038,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
152,"HIGHEST IN THE ROOM","Travis Scott",801632,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
153,"Ride It",Regard,801400,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
154,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",801384,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
155,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",799989,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
156,"One Dance",Drake,798784,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
157,Golden,"Harry Styles",796378,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
158,Riptide,"Vance Joy",796195,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
159,"my ex's best friend (with blackbear)","Machine Gun Kelly",793868,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
160,"What’s Next",Drake,791211,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
161,"The Box","Roddy Ricch",790186,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
162,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",786567,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
163,"Another One Bites The Dust - Remastered 2011",Queen,785673,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
164,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",785450,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
165,"Bubblegum Bitch",MARINA,785066,https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg
166,"Savage Love (Laxed - Siren Beat)","Jawsh 685",783756,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
167,"Laugh Now Cry Later (feat. Lil Durk)",Drake,779069,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
168,Closer,"The Chainsmokers",777244,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
169,"Counting Stars",OneRepublic,775607,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
170,"La Nota","Manuel Turizo",774164,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
171,Falling,"Harry Styles",772837,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
172,"Smells Like Teen Spirit",Nirvana,772717,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
173,"Travesuras - Remix","Nio Garcia",770330,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
174,"Do I Wanna Know?","Arctic Monkeys",769130,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
175,"Somebody That I Used To Know",Gotye,768826,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
176,"Every Breath You Take","The Police",768295,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
177,"The Real Slim Shady",Eminem,767912,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
178,"Ram Pam Pam","Natti Natasha",766322,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
179,"Ramen & OJ","Joyner Lucas",766217,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
180,"Jocelyn Flores",XXXTENTACION,765501,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
181,"Liberdade (Quando o Grave Bate Forte)",Alok,758002,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
182,"Rain On Me (with Ariana Grande)","Lady Gaga",757760,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
183,"If the World Was Ending - feat. Julia Michaels","JP Saxe",757152,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
184,"TE MUDASTE","Bad Bunny",756812,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
185,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",754048,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
186,"SICKO MODE","Travis Scott",753917,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
187,"Lonely (with benny blanco)","Justin Bieber",752982,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
188,"The Hills","The Weeknd",751003,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
189,"Something Just Like This","The Chainsmokers",749333,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
190,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",748438,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
191,"Mr. Brightside","The Killers",747634,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
192,"c l o s e","J. Cole",746760,https://open.spotify.com/track/4YiY551vHi6glMtgVxuqAy
193,"Life Is Good (feat. Drake)",Future,740986,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
194,"Godzilla (feat. Juice WRLD)",Eminem,740684,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
195,"At My Worst","Pink Sweat$",740186,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
196,Explícito,"Myke Towers",739923,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
197,"No Te Enamores - Remix",Milly,739616,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
198,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",735983,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
199,Dior,"Pop Smoke",735801,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
200,PROBLEMA,"Daddy Yankee",734993,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
