artist_name,Streams
Drake,5430904590
Post Malone,4281926975
XXXTENTACION,3065448718
Cardi B,2630187207
Marshmello,2600010602
Ed Sheeran,2438820548
Camila Cabello,2233923631
Calvin Harris,2012699491
Khalid,1884163283
Travis Scott,1746952384
The Chainsmokers,1562533595
Tyga,1492350231
Dua Lipa,1480108357
Maroon 5,1433885677
Ariana Grande,1256578671
Migos,1217038885
Dynoro,1167935172
Zedd,1116162881
Kendrick Lamar,1049786857
A$AP Rocky,1015909948
BlocBoy JB,993603198
DJ Khaled,834868765
Lil Baby,831991409
DJ Snake,825351136
Selena Gomez,823871155
Bruno Mars,820566864
Kanye West,815339949
Clean Bandit,787278252
Bebe Rexha,774454838
6ix9ine,769527461
5 Seconds of Summer,762048882
Eminem,750617545
Kodak Black,730233357
G-Eazy,728593306
Sam Smith,707279324
Offset,678021714
Famous Dex,668202041
Avicii,599697003
Martin Garrix,575268509
Dean Lewis,568924480
David Guetta,563298308
French Montana,559729056
Jay Rock,541034481
Sofia Reyes,540740498
Portugal. The Man,531127840
benny blanco,506311147
Kygo,495801839
Nio Garcia,488219836
Imagine Dragons,479373469
Nicky Jam,479190308
Rudimental,464752858
Charlie Puth,450782303
Bazzi,428885181
Rita Ora,428622100
ZAYN,418475117
Jonas Blue,376358960
TiÃ«sto,365013185
Lil Uzi Vert,344498861
Reik,337326802
Becky G,332828052
Ava Max,326021542
Hailee Steinfeld,323159489
Queen,320518183
Silk City,319759862
Anne-Marie,316578850
TOTO,306198854
21 Savage,304002964
The Weeknd,300913496
Childish Gambino,289498833
Billie Eilish,287130613
James Arthur,284863930
King Princess,280018917
Anitta,276819155
Halsey,273720437
Gucci Mane,268151856
Luis Fonsi,262750429
Lil Pump,261228018
Lauv,242839801
Panic! At The Disco,240662834
Shawn Mendes,238132578
J Balvin,237619866
Natti Natasha,237015088
Shakira,231699909
Demi Lovato,223474973
George Ezra,212316993
Ozuna,211359515
A$AP Ferg,209159372
Keala Settle,195715437
Piso 21,194098131
Bad Bunny,186887587
Future,185388298
Zac Efron,179961827
Miguel,176462790
Sheck Wes,171913227
Oasis,166184859
Rich The Kid,158158742
Meek Mill,153874956
Daddy Yankee,149564907
Nicki Minaj,120590642
Liam Payne,115586518
